crm_source,crm_company_name,crm_card_url,crm_list_name,crm_priority,crm_lead_source,crm_type,crm_industry,crm_product,crm_region,crm_country,crm_website,crm_last_activity_date,hannover_company_name,hannover_country,hannover_website,hannover_booths,hannover_profile_url,hannover_score,hannover_category,hannover_subcategory,match_confidence,match_reason,hannover_profile_meta_description
accounts,Forge LT,https://trello.com/c/IqSA57JU/98-forge-lt,Proposal,,Apollo,Manufacturer,Metal & Steel,Steel,Europe,Lithuania,https://www.forge.lt/,2026-04-09T15:16:00.047Z,"Forge LT, UAB",Lithuania,http://www.forge.lt,"Hall 26, Stand B78",https://www.hannovermesse.de/exhibitor/forge-lt/N1568902,6,manufacturer_target,metal_components_or_processing,high,exact_domain,"Forge LT is a family-owned Lithuanian manufacturer specializing in closed-die steel forgings (up to 8kg) and high-complexity steel fabrications, combining heavy welding and CNC machining operations. We primarily serve the heavy machinery, machine building, and hydraulic systems industries. With 30 years of experience and a team of 90, we prioritize long-term partnerships and continuously innovate by integrating digitalization into our daily production"
accounts,Hexagon,https://trello.com/c/VPT5tvLB/68-hexagon,Proposal,,Events,Metrology,Other,Metrology instruments,Europe,England,https://hexagon.com/,2026-04-02T07:55:45.186Z,Hexagon Manufacturing Intelligence Management Limited,United Kingdom,https://www.hexagon.com,"Hall 17, Stand F20 | Hall 26, Stand E98, (15) | Hall 26, Stand G44, (38)",https://www.hannovermesse.de/exhibitor/hexagon/N1480486,12,partner_target,inspection_hardware_or_metrology,high,exact_domain,"At Hexagon, we don’t just measure the world – we define its future. As the global leader in measurement technologies, we provide the confidence that vital industries rely on to build, navigate, and innovate. From microns to Mars, our solutions drive productivity, quality, safety, and sustainability across aerospace, agriculture, automotive, construction, manufacturing, and mining. Yet measurement is only the beginning. We bridge the physical and digital worlds with cutting-edge metrology, reality capture, and positioning solutions – making industries and cities safer, smarter, and more sustainable. Looking forward we are striving to enable our customers to meet sustainability and demographic challenges – ultimately advancing them towards truly autonomous solutions.Measurement is the foundation of progress. When it has to be right, it has to be Hexagon."
accounts,Laufenberg GmbH,https://trello.com/c/LhYQJ02l/76-laufenberg-gmbh,On hold,,Events,Manufacturer,Consumer Goods,Films,Europe,Germany,https://laufenberg.info/en/,2026-01-19T12:05:11.750Z,Laufenberg GmbH,Germany,http://www.laufenberg.info,"Hall 11, Stand D10/2",https://www.hannovermesse.de/exhibitor/laufenberg/N1515106,0,review_target,general_industrial_fit,high,exact_domain,"Laufenberg develops and produces catalyst coated membranes (CCM) and reinforced silicone flat gaskets for hydrogen applications.  Laufenberg GmbH is a well-known coating company in the segment of release liners. In our business segment ""Coated Fuel Cell Components"" we offer customized and also standardized materials (primarily for use in PEM fuel cells) with our existing coating expertise.  As components for the MEA assembly Laufenberg offers CCM's for automotive or heavy-duty applications. Besides one standard each, we focus on customer-oriented development and also develop CCM's for customer specific requests.   In addition, our innovative reinforced silicone flat seal with PET core is already used in the market for stack assembly. Besides the standard PET-core, we can also use other carrier materials and adjust the layer thicknesses as well as other dimensions individually to customer requirements."
accounts,Melicon,https://trello.com/c/LBEfrRTc/69-melicon,Lost,,Events,Manufacturer,,,,,,2026-01-09T10:10:55.978Z,MeliCon GmbH,Germany,http://www.melicon.de,"Hall 11, Stand C14",https://www.hannovermesse.de/exhibitor/melicon/N1433642,28,manufacturer_target,composites_textiles_materials,high,exact_name,"MeliCon was founded in 2001 with the focus on the engenieering and production of metallic lightweight components. In the following years the development of two innovative product lines, MeliFil metall fibre fleece for hot gas filtration and MeliPlate wire mesh laminate for solid/liquid separation, opened the way to new importent markets. With our highly-developed thermical joining technology we are able to manufacture unique products made out of stainless steel, FeCrAlY, Titanium-, and Nickel-base alloys. Based on our existing product range we develop a custom made end product in a trustful cooperation with our customer."
accounts,Airbus,https://trello.com/c/6t78xDRH/73-airbus,On hold,,Referral,Manufacturer,Aerospace,Aircraft wing,Europe,France,https://www.airbus.com/en/innovation/future-aircraft/wings,2026-01-19T12:19:09.234Z,Airbus Operations GmbH,Germany,https://www.aerospace-x.net/,"Hall 13, Stand C24",https://www.hannovermesse.de/exhibitor/aerospace-x/N1577303,0,review_target,general_industrial_fit,medium,brand_family_name_overlap,"Aerospace-X is a BMWE-funded project involving 13 partners from industry and research. Its goal is to build a collaborative ecosystem for sustainability and circular economy in aerospace, while future-proofing supply chains through digitalization and data sovereignty.  Key use cases include demand and capacity management, cross-company exchange of product carbon footprints, and the creation of digital product passports. These support circular economy approaches such as recycling, use of secondary materials, and component reuse. Additionally, decision support systems and end-to-end quality and non-conformity management will be developed to ensure future aircraft are circular, efficient, environmentally friendly, and built to the highest quality standards."
accounts,Airbus,https://trello.com/c/6t78xDRH/73-airbus,On hold,,Referral,Manufacturer,Aerospace,Aircraft wing,Europe,France,https://www.airbus.com/en/innovation/future-aircraft/wings,2026-01-19T12:19:09.234Z,Airbus Protect GmbH,Germany,https://www.protect.airbus.com,"Hall 11, Stand D10/3",https://www.hannovermesse.de/exhibitor/airbus-protect/N1616242,-6,excluded,negative_signal,medium,brand_family_name_overlap,"Airbus Protect, a subsidiary of Airbus, is a risk management leader for cybersecurity, safety, and sustainability.  Leveraging its Airbus roots, Airbus Protect provides innovative and top-tier consulting, services and solutions with a holistic approach to ensure regulatory compliance, incident prevention and business resilience to master the challenges of today and tomorrow. Our commitment to excellence and setting new standards for our customers makes us a trusted partner."
accounts,Airbus (Defense & Space),https://trello.com/c/COrF7zeS/86-airbus-defense-space,On hold,,Referral,Manufacturer,Aerospace,Military and defence systems,Europe,France,https://www.airbus.com/en/products-services/defence,2026-01-19T12:27:25.546Z,Airbus Operations GmbH,Germany,https://www.aerospace-x.net/,"Hall 13, Stand C24",https://www.hannovermesse.de/exhibitor/aerospace-x/N1577303,0,review_target,general_industrial_fit,medium,brand_family_name_overlap,"Aerospace-X is a BMWE-funded project involving 13 partners from industry and research. Its goal is to build a collaborative ecosystem for sustainability and circular economy in aerospace, while future-proofing supply chains through digitalization and data sovereignty.  Key use cases include demand and capacity management, cross-company exchange of product carbon footprints, and the creation of digital product passports. These support circular economy approaches such as recycling, use of secondary materials, and component reuse. Additionally, decision support systems and end-to-end quality and non-conformity management will be developed to ensure future aircraft are circular, efficient, environmentally friendly, and built to the highest quality standards."
accounts,Airbus (Defense & Space),https://trello.com/c/COrF7zeS/86-airbus-defense-space,On hold,,Referral,Manufacturer,Aerospace,Military and defence systems,Europe,France,https://www.airbus.com/en/products-services/defence,2026-01-19T12:27:25.546Z,Airbus Protect GmbH,Germany,https://www.protect.airbus.com,"Hall 11, Stand D10/3",https://www.hannovermesse.de/exhibitor/airbus-protect/N1616242,-6,excluded,negative_signal,medium,brand_family_name_overlap,"Airbus Protect, a subsidiary of Airbus, is a risk management leader for cybersecurity, safety, and sustainability.  Leveraging its Airbus roots, Airbus Protect provides innovative and top-tier consulting, services and solutions with a holistic approach to ensure regulatory compliance, incident prevention and business resilience to master the challenges of today and tomorrow. Our commitment to excellence and setting new standards for our customers makes us a trusted partner."
